"LOCATION","DISTRICT","SENSITIVITY ZONE","INTERVENTION","OPERATION START DATE","OPERATION END DATE"
"23rd St between MLK to Northgate","D3","High","Closure","September 29, 2025","October 03, 2025"
"27th St between MLK Jr Way and Northgate Ave","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLk between W Grand Ave & 23rd","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLK between 23rd & 24th","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLK between 24th & 25th","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLK between 25th St & Sycamore St","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLK between Sycamore St & 26th St","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLK between 26th St & 27th St","D3","High","Closure","September 29, 2025","October 03, 2025"
"Northgate Ave between W Grand Ave and 23rd St","D3","High","Closure","September 29, 2025","October 03, 2025"
"Northgate Ave between 23rd St and 24th St","D3","High","Closure","September 29, 2025","October 03, 2025"
"MLK between 25th St & Sycamore St","D3","High","Closure","September 22, 2025","September 26, 2025"
"MLK between Sycamore St & 26th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"MLK between 26th St & 27th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Northgate Ave between W Grand Ave and 23rd St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Northgate Ave between 23rd St and 24th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Northgate Ave between 24th St & 25th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Northgate Ave between 25th St & Sycamore St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Northgate Ave between Sycamore St & 27th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"28th Street between Ettie and Mandela Parkway","D3","High","Deep Cleaning","September 22, 2025","September 26, 2025"
"28th St between Ettie St & Hannah St","D3","High","Deep Cleaning","September 22, 2025","September 26, 2025"
"Ettie St b/t 28th St and 32nd St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Telegraph Ave between 34th St and 36th St.","D3","High","Closure & Deep Cleaning","September 22, 2025","September 26, 2025"
"West between 35th and 36th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"19th Ave between Solano Way and International Blvd","D2","High","Closure","September 22, 2025","September 26, 2025"
"19th Ave between E 12th St and Solano Way","D2","High","Closure","September 22, 2025","September 26, 2025"
"E. 12th Median : 14th Ave to 19th Ave","D2","High","Closure","September 22, 2025","September 26, 2025"
"Wood St between W Grand Ave and 24th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Beach St/Wood St between 34th St and Halleck St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Wood St between 24th St and 26th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Wood St between 26th St and 32nd St","D3","High","Closure","September 22, 2025","September 26, 2025"
"Wood St between 32nd St and 34th St","D3","High","Closure","September 22, 2025","September 26, 2025"
"27th St between Northgate Ave and Telegraph Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"24th St between Northgate Ave and Telegraph Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"25th st between Northgate Ave and Telegraph Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"Sycamore between Northgate Ave and Telegraph Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"W Grand Ave between San Pablo Ave & MLK","D3","High","Closure","September 22, 2025","September 26, 2025"
"W Grand Ave between MLK to Northgate","D3","High","Closure","September 22, 2025","September 26, 2025"
"W Grand Ave between Northgate Ave and Telegraph Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"Sycamore between Northgate and MLK","D3","High","Closure","September 22, 2025","September 26, 2025"
"San Pablo Ave between W Grand Ave & MLK","D3","High","Closure","September 22, 2025","September 26, 2025"
"23rd St. between MLK and San Pablo","D3","High","Closure","September 22, 2025","September 26, 2025"
"23rd St between Northgate Ave and Telegraph Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"23rd St between MLK to Northgate","D3","High","Closure","September 22, 2025","September 26, 2025"
"27th St between MLK Jr Way and Northgate Ave","D3","High","Closure","September 22, 2025","September 26, 2025"
"MLk between W Grand Ave & 23rd","D3","High","Closure","September 22, 2025","September 26, 2025"
"MLK between 23rd & 24th","D3","High","Closure","September 22, 2025","September 26, 2025"
"MLK between 24th & 25th","D3","High","Closure","September 22, 2025","September 26, 2025"
"24th St between Northgate Ave and Telegraph Ave","D3","High","Closure","September 15, 2025","September 19, 2025"
"Sycamore between Northgate Ave and Telegraph Ave","D3","High","Closure","September 15, 2025","September 19, 2025"
"W Grand Ave between San Pablo Ave & MLK","D3","High","Closure","September 15, 2025","September 19, 2025"
