location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes,intervention_raw
Union Point Park,D5,High,"September 21, 2022","September 22, 2022",2022-09-21,2022-09-22,1,2022,9,2022-09,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Clinton Park,D2,High,"September 08, 2022","September 09, 2022",2022-09-08,2022-09-09,1,2022,9,2022-09,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Clinton Park, Oakland, CA",37.8082,-122.2544,known_place_lookup,,Closure
Union Point Park,D5,High,"August 31, 2022","September 01, 2022",2022-08-31,2022-09-01,1,2022,8,2022-08,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Lake Merritt: Grand Avenue,D3,High,"August 01, 2022","August 01, 2022",2022-08-01,2022-08-01,0,2022,8,2022-08,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure at Lakeside Park/563 Grand Avenue
Lake Merritt: Cameron Stanford House,D3,High,"July 21, 2022","July 21, 2022",2022-07-21,2022-07-21,0,2022,7,2022-07,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Peralta Park,D2,High,"June 20, 2022","June 20, 2022",2022-06-20,2022-06-20,0,2022,6,2022-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Closure
Clinton Park,D2,High,"June 13, 2022","June 13, 2022",2022-06-13,2022-06-13,0,2022,6,2022-06,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Clinton Park, Oakland, CA",37.8082,-122.2544,known_place_lookup,,Closure
Mosswood Park,D3,High,"June 02, 2022","June 02, 2022",2022-06-02,2022-06-02,0,2022,6,2022-06,pre_grants_pass,Closure,,False,False,False,False,entire park,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure entire park
Peralta Park,D2,High,"May 24, 2022","May 24, 2022",2022-05-24,2022-05-24,0,2022,5,2022-05,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Closure
Lake Merritt: Cameron Stanford House,D3,High,"May 23, 2022","May 23, 2022",2022-05-23,2022-05-23,0,2022,5,2022-05,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Mosswood Park,D3,High,"May 16, 2022","May 16, 2022",2022-05-16,2022-05-16,0,2022,5,2022-05,pre_grants_pass,Closure,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure
Mosswood Park,D3,High,"April 25, 2022","April 25, 2022",2022-04-25,2022-04-25,0,2022,4,2022-04,pre_grants_pass,Deep Cleaning,,False,False,False,False,dog park,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Deep Cleaning at Mosswood Dog Park
Mosswood Park,D3,High,"April 25, 2022","April 25, 2022",2022-04-25,2022-04-25,0,2022,4,2022-04,pre_grants_pass,Closure,,False,False,False,False,dog park,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure at Mosswood Park: Dog Park/3505 Broadway
